Gene ID,TOOL,PRODUCT
single_protein_1703,,hypothetical protein
single_protein_1704,,hypothetical protein
single_protein_1705,PFAM,EAL domain-containing protein
single_protein_1706,,hypothetical protein
single_protein_1707,PFAM,Integrase catalytic region
single_protein_1708,,hypothetical protein
single_protein_1709,,hypothetical protein
single_protein_171,,hypothetical protein
single_protein_1710,,hypothetical protein
single_protein_1711,PFAM,RES domain protein
single_protein_1712,,hypothetical protein
single_protein_1714,PFAM,peptidase U34 dipeptidase
single_protein_1715,TIGR,type-IV secretion system protein TraC
single_protein_1716,,hypothetical protein
single_protein_1717,,hypothetical protein
single_protein_1718,,hypothetical protein
single_protein_172,,hypothetical protein
single_protein_1720,,hypothetical protein
single_protein_1721,PFAM,Oligogalacturonate-specific porin
single_protein_1722,,hypothetical protein
single_protein_1723,,hypothetical protein
single_protein_1724,PFAM,Protein of unknown function DUF2511
single_protein_1725,PFAM,SNF2-related protein
single_protein_1726,PFAM,glycoside hydrolase family 65 central catalytic
single_protein_1727,,hypothetical protein
single_protein_1728,PFAM,DNA polymerase II beta subunit
single_protein_1729,,hypothetical protein
single_protein_173,,hypothetical protein
single_protein_1730,PFAM,Pili assembly chaperone
single_protein_1731,,hypothetical protein
single_protein_1732,TIGR,type IV conjugative transfer system protein TraV
single_protein_1733,,hypothetical protein
single_protein_1734,,hypothetical protein
single_protein_1736,,hypothetical protein
single_protein_1737,,hypothetical protein
single_protein_1738,,hypothetical protein
single_protein_1739,,hypothetical protein
single_protein_174,,hypothetical protein
single_protein_1740,,hypothetical protein
single_protein_1741,PFAM,tail assembly chaperone gp38
single_protein_1742,HAMAP,Enolase
single_protein_1743,,hypothetical protein
single_protein_1744,,hypothetical protein
single_protein_1746,,hypothetical protein
single_protein_1747,,hypothetical protein
single_protein_1748,,hypothetical protein
single_protein_1749,PFAM,outer membrane efflux protein
single_protein_175,,hypothetical protein
single_protein_1750,PFAM,Protein of unknown function DUF2136
single_protein_1752,PFAM,protein of unknown function DUF1327
single_protein_1754,,hypothetical protein
single_protein_1755,,hypothetical protein
single_protein_1756,,hypothetical protein
single_protein_1757,,hypothetical protein
single_protein_1758,PFAM,CblD family pilus biogenesis initiator protein
single_protein_1759,PFAM,Insecticidal toxin complex/plasmid viulence protein
single_protein_176,,hypothetical protein
single_protein_1760,PFAM,tail tape measure protein lambda
single_protein_1761,,hypothetical protein
single_protein_1762,,hypothetical protein
single_protein_1763,PFAM,Protein of unknown function DUF2293
single_protein_1764,PFAM,Integrase catalytic region
single_protein_1766,,hypothetical protein
single_protein_1769,,hypothetical protein
single_protein_177,,hypothetical protein
single_protein_1770,,hypothetical protein
single_protein_1771,,hypothetical protein
single_protein_1772,,hypothetical protein
single_protein_1773,,hypothetical protein
single_protein_1774,,hypothetical protein
single_protein_1775,,hypothetical protein
single_protein_1776,,hypothetical protein
single_protein_1777,,hypothetical protein
single_protein_1778,,hypothetical protein
single_protein_1779,,hypothetical protein
single_protein_178,,hypothetical protein
single_protein_1780,,hypothetical protein
single_protein_1781,PFAM,DEAD/DEAH box helicase domain protein
single_protein_1782,TIGR,cob(I)alamin adenosyltransferase
single_protein_1784,,hypothetical protein
single_protein_1785,,hypothetical protein
single_protein_1786,PFAM,Inosine/uridine-preferring nucleoside hydrolase
single_protein_1787,,hypothetical protein
single_protein_1788,PFAM,Auxin Efflux Carrier
single_protein_1789,,hypothetical protein
single_protein_179,,hypothetical protein
single_protein_1790,,hypothetical protein
single_protein_1792,,hypothetical protein
single_protein_1793,,hypothetical protein
single_protein_1794,PFAM,protein of unknown function DUF1643
single_protein_1795,PFAM,N-acetylmuramoyl-L-alanine amidase family 2
single_protein_1796,PFAM,Thioredoxin-like fold-containing protein
single_protein_1798,,hypothetical protein
single_protein_1799,,hypothetical protein
single_protein_18,,hypothetical protein
single_protein_180,PFAM,DSBA oxidoreductase
single_protein_1800,PFAM,Resolvase  domain-containing protein
single_protein_1801,PFAM,exodeoxyribonuclease VIII
single_protein_1802,,hypothetical protein
single_protein_1804,,hypothetical protein
single_protein_1805,,hypothetical protein
single_protein_1806,,hypothetical protein
single_protein_1807,,hypothetical protein
single_protein_1809,,hypothetical protein
single_protein_181,PFAM,UvrD-like DNA helicase
single_protein_1810,,hypothetical protein
single_protein_1811,,hypothetical protein
single_protein_1812,,hypothetical protein
single_protein_1814,,hypothetical protein
single_protein_1816,,hypothetical protein
single_protein_1818,PFAM,UMUC domain protein DNA-repair protein
single_protein_1819,,hypothetical protein
single_protein_182,,hypothetical protein
single_protein_1821,PFAM,type III restriction protein res subunit
single_protein_1822,,hypothetical protein
single_protein_1823,,hypothetical protein
single_protein_1825,,hypothetical protein
single_protein_1826,,hypothetical protein
single_protein_1827,,hypothetical protein
single_protein_1828,,hypothetical protein
single_protein_1829,,hypothetical protein
single_protein_183,,hypothetical protein
single_protein_1830,PFAM,polysaccharide biosynthesis protein
single_protein_1831,,hypothetical protein
single_protein_1834,TIGR,"phage-associated protein, HI1409 family"
single_protein_1835,,hypothetical protein
single_protein_1836,,hypothetical protein
single_protein_1837,,hypothetical protein
single_protein_1838,,hypothetical protein
single_protein_184,,hypothetical protein
single_protein_1840,,hypothetical protein
single_protein_1841,,hypothetical protein
single_protein_1842,,hypothetical protein
single_protein_1843,,hypothetical protein
single_protein_1844,PFAM,Protein of unknown function DUF2703
single_protein_1848,PFAM,glycoside hydrolase family 24
single_protein_185,PFAM,Prophage CP4-57 regulatory
single_protein_1850,PFAM,protein of unknown function DUF1019
single_protein_1851,,hypothetical protein
single_protein_1852,,hypothetical protein
single_protein_1854,,hypothetical protein
single_protein_1856,,hypothetical protein
single_protein_1857,,hypothetical protein
single_protein_1859,PFAM,DNA single-strand annealing protein RecT-like protein
single_protein_186,,hypothetical protein
single_protein_1860,,hypothetical protein
single_protein_1861,,hypothetical protein
single_protein_1862,,hypothetical protein
single_protein_1863,PFAM,CP79-related protein
single_protein_1864,PFAM,PTS system mannose/fructose/sorbose family IID component
single_protein_1865,,hypothetical protein
single_protein_1866,TIGR,aminodeoxychorismate lyase
single_protein_1867,,hypothetical protein
single_protein_1868,,hypothetical protein
single_protein_1869,PFAM,Autotransporter-associated beta strand repeat
single_protein_187,,hypothetical protein
single_protein_1870,PFAM,aconitate hydratase domain-containing protein
single_protein_1872,,hypothetical protein
single_protein_1873,,hypothetical protein
single_protein_1874,,hypothetical protein
single_protein_1875,PFAM,Pili assembly chaperone
single_protein_1876,,hypothetical protein
single_protein_1878,,hypothetical protein
single_protein_1879,,hypothetical protein
single_protein_188,,hypothetical protein
single_protein_1880,PFAM,protein of unknown function DUF81
single_protein_1881,PFAM,DEAD/DEAH box helicase domain protein
single_protein_1882,PFAM,transposase IS3/IS911 family protein
single_protein_1883,,hypothetical protein
single_protein_1885,,hypothetical protein
single_protein_1886,,hypothetical protein
single_protein_1887,,hypothetical protein
single_protein_1888,,hypothetical protein
single_protein_1890,,hypothetical protein
single_protein_1891,,hypothetical protein
single_protein_1892,,hypothetical protein
single_protein_1893,,hypothetical protein
single_protein_1894,,hypothetical protein
single_protein_1895,,hypothetical protein
single_protein_1896,,hypothetical protein
single_protein_1897,,hypothetical protein
single_protein_1898,,hypothetical protein
single_protein_1899,PFAM,Integrase catalytic region
single_protein_190,,hypothetical protein
single_protein_1900,,hypothetical protein
single_protein_1901,,hypothetical protein
single_protein_1902,PFAM,Leader peptide tryptophan-operon
single_protein_1903,,hypothetical protein
single_protein_1905,,hypothetical protein
single_protein_1906,,hypothetical protein
single_protein_1907,,hypothetical protein
single_protein_1908,,hypothetical protein
single_protein_191,,hypothetical protein
single_protein_1910,,hypothetical protein
single_protein_1911,,hypothetical protein
single_protein_1912,,hypothetical protein
single_protein_1913,,hypothetical protein
single_protein_1914,,hypothetical protein
single_protein_1915,,hypothetical protein
single_protein_1916,,hypothetical protein
single_protein_1917,PFAM,sugar isomerase (SIS)
single_protein_1918,PFAM,lysis protein
single_protein_1919,,hypothetical protein
single_protein_192,,hypothetical protein
single_protein_1920,,hypothetical protein
single_protein_1921,,hypothetical protein
single_protein_1922,,hypothetical protein
single_protein_1923,TIGR,"integrating conjugative element protein, PFL_4701 family"
single_protein_1924,,hypothetical protein
single_protein_1925,PFAM,Ferric reductase domain protein transmembrane component  domain-containing protein
single_protein_1926,,hypothetical protein
single_protein_1927,PFAM,protein of unknown function DUF81
single_protein_1928,,hypothetical protein
single_protein_1929,,hypothetical protein
single_protein_193,,hypothetical protein
single_protein_1930,PFAM,virulence-related outer membrane protein
single_protein_1931,,hypothetical protein
single_protein_1932,TIGR,"phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN"
single_protein_1933,PFAM,acyltransferase 3
single_protein_1934,,hypothetical protein
single_protein_1935,,hypothetical protein
single_protein_1936,,hypothetical protein
single_protein_1937,,hypothetical protein
single_protein_1938,,hypothetical protein
single_protein_1939,,hypothetical protein
single_protein_194,PFAM,transposase IS3/IS911 family protein
single_protein_1940,PFAM,Lytic transglycosylase catalytic
single_protein_1941,,hypothetical protein
single_protein_1942,,hypothetical protein
single_protein_1943,,hypothetical protein
single_protein_1944,,hypothetical protein
single_protein_1945,,hypothetical protein
single_protein_1946,,hypothetical protein
single_protein_1947,,hypothetical protein
single_protein_1948,,hypothetical protein
single_protein_1949,,hypothetical protein
single_protein_195,,hypothetical protein
single_protein_1951,PFAM,lambda Kil
single_protein_1952,,hypothetical protein
single_protein_1953,,hypothetical protein
single_protein_1954,,hypothetical protein
single_protein_1955,,hypothetical protein
single_protein_1956,,hypothetical protein
single_protein_1957,,hypothetical protein
single_protein_1958,PFAM,"Phage P4, Ash protein"
single_protein_1959,PFAM,"Peptidase S24/S26A/S26B, conserved region"
single_protein_196,,hypothetical protein
single_protein_1960,PFAM,Haloacid dehalogenase domain protein hydrolase type 3
single_protein_1961,,hypothetical protein
single_protein_1963,,hypothetical protein
single_protein_1965,PFAM,Spore coat protein U
single_protein_1967,PFAM,Mu-like prophage FluMu protein gp41
single_protein_1968,,hypothetical protein
single_protein_1969,,hypothetical protein
single_protein_197,PFAM,transferase hexapeptide repeat containing protein
single_protein_1970,,hypothetical protein
single_protein_1971,,hypothetical protein
single_protein_1972,,hypothetical protein
single_protein_1974,,hypothetical protein
single_protein_1975,PFAM,Protein of unknown function DUF3607
single_protein_1976,PFAM,"ABC-type transporter, integral membrane subunit"
single_protein_1977,PFAM,ATP dependent DNA ligase
single_protein_1978,,hypothetical protein
single_protein_1979,PFAM,protein of unknown function DUF796
single_protein_198,TIGR,dnd system-associated protein 2
single_protein_1980,,hypothetical protein
single_protein_1981,,hypothetical protein
single_protein_1982,,hypothetical protein
single_protein_1983,,hypothetical protein
single_protein_1984,,hypothetical protein
single_protein_1985,,hypothetical protein
single_protein_1986,,hypothetical protein
single_protein_1988,,hypothetical protein
single_protein_1989,PFAM,Autotransporter beta- domain protein
single_protein_199,,hypothetical protein
single_protein_1990,,hypothetical protein
single_protein_1991,PFAM,Protein of unknown function DUF2514
single_protein_1992,,hypothetical protein
single_protein_1993,,hypothetical protein
single_protein_1994,,hypothetical protein
single_protein_1995,,hypothetical protein
single_protein_1997,PFAM,transposase mutator type
single_protein_1998,,hypothetical protein
single_protein_1999,,hypothetical protein
single_protein_2,PFAM,Type-F conjugative transfer system mating-pair stabilization protein TraN
single_protein_200,,hypothetical protein
single_protein_2000,,hypothetical protein
single_protein_2002,,hypothetical protein
single_protein_2003,PFAM,esterase
single_protein_2004,,hypothetical protein
single_protein_2005,,hypothetical protein
single_protein_2006,PFAM,transposase Tn3 family protein
single_protein_2008,PFAM,sulfatase
single_protein_2009,PFAM,TniQ family protein
single_protein_201,PFAM,methylmalonyl-CoA mutase
single_protein_2010,,hypothetical protein
single_protein_2011,PFAM,chemotaxis sensory transducer
single_protein_2012,,hypothetical protein
single_protein_2013,,hypothetical protein
single_protein_2014,,hypothetical protein
single_protein_2015,,hypothetical protein
single_protein_2016,,hypothetical protein
single_protein_2019,,hypothetical protein
single_protein_202,,hypothetical protein
single_protein_2020,,hypothetical protein
single_protein_2021,,hypothetical protein
single_protein_2022,PFAM,protein of unknown function DUF1219
single_protein_2023,,hypothetical protein
single_protein_2024,,hypothetical protein
single_protein_2026,,hypothetical protein
single_protein_2027,,hypothetical protein
single_protein_2028,TIGR,phosphonate C-P lyase system protein PhnG
single_protein_2029,,hypothetical protein
single_protein_203,,hypothetical protein
single_protein_2030,,hypothetical protein
single_protein_2031,,hypothetical protein
single_protein_2032,,hypothetical protein
single_protein_2033,,hypothetical protein
single_protein_2035,,hypothetical protein
single_protein_2037,,hypothetical protein
single_protein_2039,,hypothetical protein
single_protein_204,,hypothetical protein
single_protein_2040,,hypothetical protein
single_protein_2041,,hypothetical protein
single_protein_2042,,hypothetical protein
single_protein_2044,PFAM,LysR substrate-binding protein
single_protein_2045,,hypothetical protein
single_protein_2046,,hypothetical protein
single_protein_2047,PFAM,chloramphenicol acetyltransferase
single_protein_2048,,hypothetical protein
single_protein_2049,PFAM,Resolvase helix-turn-helix domain protein
single_protein_205,PFAM,"Helix-turn-helix, AraC domain-containing protein"
single_protein_2050,,hypothetical protein
single_protein_2051,PFAM,initiator RepB protein
single_protein_2052,,hypothetical protein
single_protein_2053,,hypothetical protein
single_protein_2054,,hypothetical protein
single_protein_2055,,hypothetical protein
single_protein_2057,,hypothetical protein
single_protein_2058,,hypothetical protein
single_protein_2059,,hypothetical protein
single_protein_206,,hypothetical protein
single_protein_2061,PFAM,ParB domain protein nuclease
single_protein_2062,,hypothetical protein
single_protein_2063,PFAM,integrase family protein
single_protein_2064,PFAM,ABC transporter related protein
single_protein_2066,PFAM,DNA topoisomerase type IA central domain protein
single_protein_2068,,hypothetical protein
single_protein_2069,,hypothetical protein
single_protein_207,PFAM,protein of unknown function DUF1813 HSP20-like protein
single_protein_2070,,hypothetical protein
single_protein_2071,TIGR,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
single_protein_2072,,hypothetical protein
single_protein_2073,,hypothetical protein
single_protein_2074,PFAM,CDP-alcohol phosphatidyltransferase
single_protein_2075,,hypothetical protein
single_protein_2076,,hypothetical protein
single_protein_2077,,hypothetical protein
single_protein_2079,,hypothetical protein
single_protein_208,,hypothetical protein
single_protein_2081,,hypothetical protein
single_protein_2082,,hypothetical protein
single_protein_2083,PFAM,major facilitator superfamily MFS_1
single_protein_2084,,hypothetical protein
single_protein_2086,,hypothetical protein
single_protein_2087,PFAM,protein of unknown function DUF905
single_protein_2088,,hypothetical protein
single_protein_2089,PFAM,DNA single-strand annealing protein RecT-like protein
single_protein_2090,PFAM,TQO small subunit DoxD domain-containing protein
single_protein_2091,,hypothetical protein
single_protein_2092,,hypothetical protein
single_protein_2093,,hypothetical protein
single_protein_2094,,hypothetical protein
single_protein_2095,,hypothetical protein
single_protein_2096,,hypothetical protein
single_protein_2098,,hypothetical protein
single_protein_2099,PFAM,C-5 cytosine-specific DNA methylase
single_protein_21,,hypothetical protein
single_protein_210,,hypothetical protein
single_protein_2100,,hypothetical protein
single_protein_2101,,hypothetical protein
single_protein_2102,PFAM,terminase GpA
single_protein_2103,,hypothetical protein
single_protein_2104,,hypothetical protein
single_protein_2105,,hypothetical protein
single_protein_2107,,hypothetical protein
single_protein_2108,,hypothetical protein
single_protein_2109,,hypothetical protein
single_protein_211,,hypothetical protein
single_protein_2111,,hypothetical protein
single_protein_2112,,hypothetical protein
single_protein_2113,PFAM,Fels-1 Propage domain protein
single_protein_2114,,hypothetical protein
single_protein_2115,,hypothetical protein
single_protein_2117,,hypothetical protein
single_protein_2118,,hypothetical protein
single_protein_2119,,hypothetical protein
single_protein_212,,hypothetical protein
single_protein_2120,,hypothetical protein
single_protein_2121,,hypothetical protein
single_protein_2122,,hypothetical protein
single_protein_2123,,hypothetical protein
single_protein_2124,TIGR,addiction module killer protein
single_protein_2126,PFAM,integrase family protein
single_protein_2129,,hypothetical protein
single_protein_2130,PFAM,Protein of unknown function DUF3150
single_protein_2131,,hypothetical protein
single_protein_2132,PFAM,polarity suppression protein
single_protein_2133,,hypothetical protein
single_protein_2134,,hypothetical protein
single_protein_2135,,hypothetical protein
single_protein_2137,,hypothetical protein
single_protein_2139,PFAM,"Plasmid stability protein, StbB"
single_protein_214,PFAM,molybdopterin oxidoreductase
single_protein_2140,,hypothetical protein
single_protein_2141,,hypothetical protein
single_protein_2142,,hypothetical protein
single_protein_2144,,hypothetical protein
single_protein_2145,,hypothetical protein
single_protein_2147,,hypothetical protein
single_protein_2148,,hypothetical protein
single_protein_2149,,hypothetical protein
single_protein_215,PFAM,Abortive phage infection protein
single_protein_2150,,hypothetical protein
single_protein_2151,,hypothetical protein
single_protein_2153,,hypothetical protein
single_protein_2155,,hypothetical protein
single_protein_2156,,hypothetical protein
single_protein_2157,,hypothetical protein
single_protein_2158,PFAM,tail assembly chaperone gp38
single_protein_2159,PFAM,5-nucleotidase
single_protein_216,,hypothetical protein
single_protein_2160,,hypothetical protein
single_protein_2161,,hypothetical protein
single_protein_2162,,hypothetical protein
single_protein_2163,,hypothetical protein
single_protein_2164,,hypothetical protein
single_protein_2166,,hypothetical protein
single_protein_2168,TIGR,"transposase, IS605 OrfB family"
single_protein_217,PFAM,TrbL/VirB6 plasmid conjugal transfer protein
single_protein_2170,,hypothetical protein
single_protein_2171,,hypothetical protein
single_protein_2172,TIGR,"phosphonate ABC transporter, ATPase subunit"
single_protein_2173,,hypothetical protein
single_protein_2174,,hypothetical protein
single_protein_2175,PFAM,sulfatase
single_protein_2176,,hypothetical protein
single_protein_2177,,hypothetical protein
single_protein_2178,,hypothetical protein
single_protein_2179,,hypothetical protein
single_protein_218,,hypothetical protein
single_protein_2180,PFAM,tail assembly chaperone gp38
single_protein_2181,,hypothetical protein
single_protein_2183,PFAM,protein of unknown function DUF202
single_protein_2184,,hypothetical protein
single_protein_2185,,hypothetical protein
single_protein_2186,,hypothetical protein
single_protein_2187,,hypothetical protein
single_protein_2188,,hypothetical protein
single_protein_2189,,hypothetical protein
single_protein_219,,hypothetical protein
single_protein_2190,,hypothetical protein
single_protein_2191,PFAM,VRR-NUC domain-containing protein
single_protein_2192,,hypothetical protein
single_protein_2193,,hypothetical protein
single_protein_2194,PFAM,sodium:dicarboxylate symporter
single_protein_2195,,hypothetical protein
single_protein_2198,,hypothetical protein
single_protein_2199,,hypothetical protein
single_protein_220,,hypothetical protein
single_protein_2200,PFAM,"Helix-turn-helix, AraC domain-containing protein"
single_protein_2201,,hypothetical protein
single_protein_2202,,hypothetical protein
single_protein_2203,,hypothetical protein
single_protein_2204,,hypothetical protein
single_protein_2205,,hypothetical protein
single_protein_2206,,hypothetical protein
single_protein_2207,PFAM,Fibronectin type III domain protein
single_protein_2208,,hypothetical protein
single_protein_2209,,hypothetical protein
single_protein_221,HAMAP,Malonate decarboxylase acyl carrier protein
single_protein_2210,,hypothetical protein
single_protein_2211,,hypothetical protein
single_protein_2212,,hypothetical protein
single_protein_2213,,hypothetical protein
single_protein_2214,,hypothetical protein
single_protein_2215,TIGR,type III effector protein IpaD/SipD/SspD
single_protein_2217,,hypothetical protein
single_protein_2218,PFAM,NAD(P)H dehydrogenase (quinone)
single_protein_222,,hypothetical protein
single_protein_2220,,hypothetical protein
single_protein_2221,,hypothetical protein
single_protein_2222,,hypothetical protein
single_protein_2225,PFAM,major facilitator superfamily MFS_1
single_protein_2226,,hypothetical protein
single_protein_2227,,hypothetical protein
single_protein_2228,,hypothetical protein
single_protein_2229,,hypothetical protein
single_protein_223,PFAM,Colicin E3 catalytic
single_protein_2230,PFAM,Protein of unknown function DUF3732
single_protein_2231,,hypothetical protein
single_protein_2233,,hypothetical protein
single_protein_2234,,hypothetical protein
single_protein_2235,,hypothetical protein
single_protein_2236,PFAM,UBA/THIF-type NAD/FAD binding protein
single_protein_2237,,hypothetical protein
single_protein_2238,,hypothetical protein
single_protein_2239,,hypothetical protein
single_protein_2240,,hypothetical protein
single_protein_2241,,hypothetical protein
single_protein_2242,,hypothetical protein
single_protein_2243,,hypothetical protein
single_protein_2244,,hypothetical protein
single_protein_2246,PFAM,Protein of unknown function DUF2933
single_protein_2247,PFAM,BRO domain protein
single_protein_2248,,hypothetical protein
single_protein_2249,PFAM,DEAD/DEAH box helicase domain protein
single_protein_225,PFAM,"Peptidase S24/S26A/S26B, conserved region"
single_protein_2250,PFAM,Prophage CP4-57 regulatory
single_protein_2251,,hypothetical protein
single_protein_2252,,hypothetical protein
single_protein_2253,,hypothetical protein
single_protein_2254,,hypothetical protein
single_protein_2255,,hypothetical protein
single_protein_2256,,hypothetical protein
single_protein_2257,PFAM,GCN5-related N-acetyltransferase
single_protein_2258,,hypothetical protein
single_protein_226,,hypothetical protein
single_protein_2260,,hypothetical protein
single_protein_2261,,hypothetical protein
single_protein_2263,,hypothetical protein
single_protein_2264,,hypothetical protein
single_protein_2265,,hypothetical protein
single_protein_2266,,hypothetical protein
single_protein_2267,,hypothetical protein
single_protein_2268,PFAM,DMSO reductase anchor subunit (DmsC)
single_protein_227,,hypothetical protein
single_protein_2270,PFAM,TraL family protein
single_protein_2271,,hypothetical protein
single_protein_2272,,hypothetical protein
single_protein_2273,PFAM,NinH family protein
single_protein_2274,,hypothetical protein
single_protein_2275,,hypothetical protein
single_protein_2276,,hypothetical protein
single_protein_2278,,hypothetical protein
single_protein_2279,PFAM,flagellar transcriptional activator FlhC
single_protein_2281,,hypothetical protein
single_protein_2282,,hypothetical protein
single_protein_2283,,hypothetical protein
single_protein_2284,PFAM,IlvB leader peptide
single_protein_2285,,hypothetical protein
single_protein_2286,,hypothetical protein
single_protein_2287,,hypothetical protein
single_protein_2288,,hypothetical protein
single_protein_2289,PFAM,Prophage CP4-57 regulatory
single_protein_229,TIGR,"type IVB pilus formation outer membrane protein, R64 PilN family"
single_protein_2290,,hypothetical protein
single_protein_2293,,hypothetical protein
single_protein_2294,,hypothetical protein
single_protein_2295,,hypothetical protein
single_protein_2296,,hypothetical protein
single_protein_2297,,hypothetical protein
single_protein_2298,,hypothetical protein
single_protein_2299,,hypothetical protein
single_protein_23,,hypothetical protein
single_protein_230,,hypothetical protein
single_protein_2300,,hypothetical protein
single_protein_2301,,hypothetical protein
single_protein_2302,,hypothetical protein
single_protein_2303,,hypothetical protein
single_protein_2305,PFAM,"Protein of unknown function, DUF3672"
single_protein_2306,,hypothetical protein
single_protein_2307,,hypothetical protein
single_protein_2308,,hypothetical protein
single_protein_2309,PFAM,antitermination protein
single_protein_2310,,hypothetical protein
single_protein_2311,,hypothetical protein
single_protein_2312,,hypothetical protein
single_protein_2314,,hypothetical protein
single_protein_2316,,hypothetical protein
single_protein_2317,,hypothetical protein
single_protein_2318,,hypothetical protein
single_protein_2319,PFAM,ParB domain protein nuclease
single_protein_232,,hypothetical protein
single_protein_2320,,hypothetical protein
single_protein_2321,TIGR,pyruvate kinase
single_protein_2322,PFAM,Protein of unknown function DUF2345
single_protein_2323,,hypothetical protein
single_protein_2324,,hypothetical protein
single_protein_2325,,hypothetical protein
single_protein_2326,PFAM,ParB domain protein nuclease
single_protein_2327,,hypothetical protein
single_protein_2328,,hypothetical protein
single_protein_2329,,hypothetical protein
single_protein_2330,,hypothetical protein
single_protein_2331,,hypothetical protein
single_protein_2332,PFAM,transposase IS3/IS911 family protein
single_protein_2333,,hypothetical protein
single_protein_2334,,hypothetical protein
single_protein_2335,,hypothetical protein
single_protein_2337,,hypothetical protein
single_protein_2338,,hypothetical protein
single_protein_2339,TIGR,sulfurtransferase DndC
single_protein_234,,hypothetical protein
single_protein_2342,,hypothetical protein
single_protein_2344,,hypothetical protein
single_protein_2345,,hypothetical protein
single_protein_2346,,hypothetical protein
single_protein_2347,,hypothetical protein
single_protein_2348,PFAM,protein of unknown function DUF159
single_protein_2349,,hypothetical protein
single_protein_2350,,hypothetical protein
single_protein_2351,PFAM,HesB/YadR/YfhF-family protein
single_protein_2353,,hypothetical protein
single_protein_2354,PFAM,D12 class N6 adenine-specific DNA methyltransferase
single_protein_2355,,hypothetical protein
single_protein_2356,,hypothetical protein
single_protein_2357,,hypothetical protein
single_protein_2359,,hypothetical protein
single_protein_236,PFAM,phosphotransferase system lactose/cellobiose-specific IIB subunit
single_protein_2361,TIGR,phage replication protein O
single_protein_2362,,hypothetical protein
single_protein_2363,,hypothetical protein
single_protein_2364,,hypothetical protein
single_protein_2366,PFAM,sulfatase
single_protein_2367,PFAM,flagellin domain protein
single_protein_2368,,hypothetical protein
single_protein_2369,,hypothetical protein
single_protein_237,,hypothetical protein
single_protein_2370,TIGR,dihydropteroate synthase
single_protein_2371,,hypothetical protein
single_protein_2372,,hypothetical protein
single_protein_2374,PFAM,"Helix-turn-helix, AraC domain-containing protein"
single_protein_2375,,hypothetical protein
single_protein_2376,,hypothetical protein
single_protein_2377,,hypothetical protein
single_protein_2378,PFAM,TraYfamily protein
single_protein_2379,,hypothetical protein
single_protein_238,,hypothetical protein
single_protein_2382,,hypothetical protein
single_protein_2383,,hypothetical protein
single_protein_2386,PFAM,protein of unknown function DUF1233 excisionase
single_protein_2387,,hypothetical protein
single_protein_2388,,hypothetical protein
single_protein_2389,,hypothetical protein
single_protein_239,,hypothetical protein
single_protein_2390,,hypothetical protein
single_protein_2391,PFAM,protein of unknown function UPF0157
single_protein_2394,,hypothetical protein
single_protein_2395,,hypothetical protein
single_protein_2397,,hypothetical protein
single_protein_2398,,hypothetical protein
single_protein_2399,,hypothetical protein
single_protein_240,TIGR,"phage major capsid protein, HK97 family"
single_protein_2400,TIGR,TraF-like protein
single_protein_2401,,hypothetical protein
single_protein_2402,PFAM,C-5 cytosine-specific DNA methylase
single_protein_2403,,hypothetical protein
single_protein_2404,PFAM,Autotransporter beta- domain protein
single_protein_2405,,hypothetical protein
single_protein_2406,,hypothetical protein
single_protein_2407,,hypothetical protein
single_protein_2409,PFAM,C-5 cytosine-specific DNA methylase
single_protein_241,,hypothetical protein
single_protein_2410,PFAM,37kDa nucleoid-associated protein
single_protein_2411,,hypothetical protein
single_protein_2412,,hypothetical protein
single_protein_2413,,hypothetical protein
single_protein_2415,,hypothetical protein
single_protein_2416,,hypothetical protein
single_protein_2418,,hypothetical protein
single_protein_2419,PFAM,Helicase superfamily 1 UvrD-related protein
single_protein_242,,hypothetical protein
single_protein_2420,,hypothetical protein
single_protein_2421,,hypothetical protein
single_protein_2422,PFAM,major facilitator superfamily MFS_1
single_protein_2423,,hypothetical protein
single_protein_2424,,hypothetical protein
single_protein_2425,PFAM,"Phosphotransferase system EIIB/cysteine, phosphorylation site"
single_protein_2426,,hypothetical protein
single_protein_2428,PFAM,protein of unknown function DUF6 transmembrane
single_protein_2429,,hypothetical protein
single_protein_243,,hypothetical protein
single_protein_2430,,hypothetical protein
single_protein_2431,,hypothetical protein
single_protein_2432,,hypothetical protein
single_protein_2433,PFAM,"ABC-type transporter, integral membrane subunit"
single_protein_2434,,hypothetical protein
single_protein_2435,,hypothetical protein
single_protein_2436,,hypothetical protein
single_protein_2437,,hypothetical protein
single_protein_2438,PFAM,binary exotoxin A
single_protein_2439,PFAM,TIR protein
single_protein_244,PFAM,Type IV conjugative transfer system protein TraV
single_protein_2441,,hypothetical protein
single_protein_2442,,hypothetical protein
single_protein_2443,TIGR,mercuric reductase
single_protein_2444,PFAM,LysR substrate-binding protein
single_protein_2445,TIGR,DNA sulfur modification protein DndB
single_protein_2446,,hypothetical protein
single_protein_2448,,hypothetical protein
single_protein_2449,,hypothetical protein
single_protein_245,PFAM,protein of unknown function DUF1353
single_protein_2450,,hypothetical protein
single_protein_2451,,hypothetical protein
single_protein_2452,PFAM,helicase domain-containing protein
single_protein_2454,,hypothetical protein
single_protein_2455,PFAM,protein of unknown function DUF1281
single_protein_2456,,hypothetical protein
